word,log_freq,entropy,entropy_targeted,rounds,rounds_targeted
sitar,2.41,5.684869535705826,5.546043311610915,3.0,
sitch,2.11,4.693527589665669,4.743192477481412,4.0,
sited,2.75,5.484287310705685,5.281485424341893,4.0,
sites,4.74,5.193210738717523,4.701315837079723,5.0,
sithe,1.06,5.315255047462953,5.250126407030199,3.0,
sitka,2.65,5.175162432797245,4.72340409598492,4.0,
situp,0.0,4.861416758060981,4.699615104508947,3.0,
situs,2.0,4.6446570681545305,4.136279909438257,5.0,
siver,1.83,5.142043865666851,4.979148538555757,4.0,
sixer,2.05,4.9785233482097375,4.74996625437808,4.0,
sixes,2.91,4.427383383568701,3.8063617390768183,6.0,
sixmo,0.0,4.351487958600172,3.877054107362741,4.0,
sixte,1.08,4.892542603951294,4.733599115267566,3.0,
sixth,4.38,4.242824502953073,4.10950066965131,4.0,4.0
sixty,3.93,4.3231611301995,4.0952105119881566,4.0,4.0
sizar,1.14,4.973389345416969,4.66980917186421,4.0,
sized,4.27,4.781197334783552,4.3945558632463415,4.0,
sizel,0.0,4.949294534013418,4.706468550655715,4.0,
sizer,1.94,5.035044898177411,4.756408295850255,5.0,
sizes,4.18,4.484187881736723,3.808991287141407,6.0,
skags,1.07,4.224950879841067,3.599934098098386,5.0,
skail,0.0,5.128614458572839,4.862643707906617,4.0,
skald,1.55,4.916143097823431,4.6040379685438,4.0,
skank,2.68,4.178460023276131,3.878802290368229,4.0,
skarn,1.44,5.103171800663879,4.877826757857855,3.0,
skart,0.0,5.160318073230123,5.055920921212913,5.0,
skate,3.74,5.40310882808392,5.229919084888963,3.0,3.0
skats,0.0,4.572235318293405,4.017185228615437,4.0,
skatt,0.0,4.363895323744315,4.207644905768984,4.0,
skaws,0.0,4.038279611575131,3.4126892159643747,5.0,
skean,0.0,5.249241149859668,4.90435789321788,4.0,
skear,0.0,5.3908028583602325,5.139419114141821,4.0,
skeds,0.0,4.322122227213912,3.6402280468211727,5.0,
skeed,0.0,4.482794311258768,4.12939632697647,4.0,
skeef,0.0,4.150533670412889,3.878414646250033,6.0,
skeen,1.99,4.633269685893786,4.358958150061795,4.0,
skeer,0.0,4.745800546872651,4.505830242474604,5.0,
skees,1.24,4.184086906289,3.5542334210170727,5.0,
skeet,2.7,4.679678792075859,4.501321202414997,4.0,
skeev,0.0,4.032405219681776,3.739122959042529,5.0,
skeez,1.03,3.951688747372717,3.535661798468415,5.0,
skegg,0.0,3.798933440423546,3.501749532479416,4.0,
skegs,0.0,4.166385339432775,3.557873532744948,5.0,
skein,2.34,5.059849898635038,4.764733498699995,3.0,
skelf,0.0,4.484128091346659,4.306352516633742,4.0,
skell,1.8,4.276767037378059,4.135260107811479,4.0,
skelm,0.0,4.753930539338054,4.460672693081731,5.0,
skelp,1.22,4.745832120641242,4.5277353579181066,4.0,
skene,2.07,4.610591277190467,4.394492337811827,4.0,
skens,0.0,4.487331209182903,3.8963197501114055,4.0,
skeos,0.0,4.630526033784036,3.9387836251760087,4.0,
skeps,0.0,4.282418043665084,3.614151425937284,5.0,
skerm,0.0,4.847539706789148,4.539769645233477,4.0,
skers,0.0,4.619534815962947,4.066027909969568,5.0,
skets,0.0,4.515867184498438,3.9705165700458314,4.0,
skews,2.28,3.984216862524464,3.376034810477675,5.0,
skids,2.72,4.182820477380196,3.4848998581052832,4.0,
skied,2.46,5.080284496333371,4.710027032277252,4.0,
skier,3.2,5.338609437460649,5.072251446441524,4.0,4.0
skies,3.91,4.784276933010562,4.134122566450215,4.0,
skiey,0.0,5.053830752583712,4.70059159595948,4.0,
skiff,2.63,3.444944752799107,3.1596937424161684,4.0,3.0
skill,4.42,4.126586640056049,3.972675212708983,4.0,4.0
skimo,1.05,4.683972300071244,4.185588605907556,4.0,
skimp,2.52,4.336119287206525,3.9221244765764234,5.0,4.0
skims,2.1,4.12971271820224,3.4094625231363045,4.0,
skink,2.14,3.9680922507031022,3.656556640820799,5.0,
skins,3.79,4.330599061065389,3.7288465838463543,4.0,
skint,2.42,4.816758020006773,4.673106966798007,4.0,
skios,0.0,4.4836506169840025,3.8022488712015705,4.0,
skips,3.15,4.136817958957242,3.4657349435809395,4.0,
skirl,1.31,4.909581963087141,4.755229145068106,3.0,
skirr,0.0,4.271440037754357,4.116805085543359,4.0,
skirt,3.96,4.967946743019763,4.870751060357077,4.0,3.0
skite,1.03,5.224344854870595,5.049486114375654,4.0,
skits,2.88,4.372805416046624,3.83047335028368,5.0,
skive,1.64,4.576248183296486,4.363490972803355,5.0,
skivy,0.0,4.023383017356356,3.762607580579166,4.0,
sklim,0.0,4.607323223168886,4.223006158361097,4.0,
skoal,1.82,5.135622747453267,4.815096121405509,4.0,
skobe,0.0,4.867653639401631,4.520019742729659,5.0,
skody,0.0,4.514993803297294,4.082625945390634,4.0,
skoff,0.0,3.482216005057348,3.1654570711019008,5.0,
skofs,0.0,3.8854790642295214,3.2482654556258166,5.0,
skogs,0.0,4.060834469475587,3.398101581036295,5.0,
skols,0.0,4.415402453630363,3.825709808515952,5.0,
skool,2.34,4.251792243812132,3.982930088433924,4.0,
skort,1.51,5.0035522705816815,4.881917383545725,4.0,
skosh,0.0,4.014768260134043,3.586134039575258,5.0,
skran,0.0,5.169869107337644,4.846210252883868,5.0,
skrik,0.0,4.174309632975453,3.8455191204997377,4.0,
skroo,0.0,4.404564344988916,4.0040051484922135,4.0,
skuas,1.61,4.456147931192386,3.72860411139763,4.0,
skugs,0.0,3.7940051021314942,3.1822691577449103,5.0,
skulk,1.89,3.792662042620066,3.561659586151736,4.0,4.0
skull,4.09,3.896701383926754,3.7588274805342663,4.0,3.0
skunk,3.1,3.751376751430573,3.454977133771001,4.0,4.0
skyed,0.0,4.67993790188595,4.305984068757257,4.0,
skyer,0.0,4.938340084031338,4.684040130176143,4.0,
skyey,0.0,4.073355554809312,3.683064422287664,4.0,
skyfs,0.0,3.444272971928111,2.8818253720747284,4.0,
skyre,0.0,4.918808046916873,4.727651572414777,4.0,
skyrs,0.0,4.070369905604028,3.5288997816048813,4.0,
skyte,0.0,4.8166133407480896,4.620508050126638,4.0,
slabs,3.2,4.608084825148549,4.144054043248169,4.0,
slack,3.71,4.817461341898556,4.746895291063413,4.0,3.0
slade,3.25,5.609336968249567,5.535752751891176,4.0,
slaes,0.0,5.36757470918049,4.950178390560713,4.0,
slags,2.4,4.640731191445974,4.2458392632105735,5.0,
slaid,0.0,5.41977335812517,5.195366545898838,4.0,
slain,3.54,5.497893125173793,5.382028401130773,3.0,3.0
slake,2.01,5.452316473643443,5.287249515551934,4.0,
slams,3.63,4.74168475249924,4.237031973511682,4.0,
slane,1.91,5.761658301997254,5.768957321758763,4.0,
slang,3.55,5.035400921750918,4.957641875434561,4.0,3.0
slank,1.36,5.04754468114831,4.871598919532629,5.0,
slant,3.18,5.414980475247896,5.492894363021003,4.0,3.0
slaps,3.17,4.748357927477253,4.290313698896484,5.0,
slart,0.0,5.53768247736344,5.627239137445748,3.0,
slash,3.65,4.582107585153683,4.387686782128544,4.0,3.0
slate,3.82,5.817681007428861,5.855819244109515,3.0,3.0
slats,2.68,4.981523849849898,4.650916941946359,4.0,
slaty,2.04,5.275548209557362,5.226618309572831,3.0,
slave,4.31,5.175279582212072,5.184565609619877,4.0,
slaws,0.0,4.446322654322282,4.051068476496988,5.0,
slays,2.53,4.668414294369893,4.271255076969975,5.0,
slebs,0.0,4.561081246238216,4.116406537882998,5.0,
sleds,2.57,4.740586466446382,4.288077580885514,3.0,
sleek,3.34,4.7235112786115945,4.520093741382747,4.0,4.0
sleep,5.05,4.829261237221273,4.743391695098069,4.0,3.0
sleer,0.0,5.1323850510852775,5.103228938085718,3.0,
sleet,2.83,5.095347551118625,5.143215955091415,3.0,4.0
slept,4.18,5.185396796912849,5.203281664827205,4.0,3.0
slews,1.12,4.398949912882685,4.024255495595011,5.0,
sleys,0.0,4.616067916414337,4.209531606554147,5.0,
slice,4.0,5.365043701085983,5.511094657018499,4.0,4.0
slick,3.71,4.619669093861546,4.561316549799962,4.0,3.0
slide,4.3,5.42889152020904,5.347685761739007,4.0,4.0
slier,1.11,5.722596148349105,5.6658273956669785,3.0,
slily,0.0,4.347629917428036,4.282338468230955,4.0,
slime,3.38,5.393524932135114,5.274969761374423,4.0,4.0
slims,2.21,4.544190406691388,4.04961128795954,5.0,
slimy,3.08,4.826478218221162,4.6559404035245375,3.0,3.0
sling,3.34,4.825051155798107,4.742690016986586,4.0,3.0
slink,2.38,4.841494448866712,4.65968783271909,4.0,4.0
slipe,0.0,5.4031022383191765,5.339449671491229,4.0,
slips,3.61,4.552727615149903,4.104904854889707,4.0,
slipt,0.0,5.038319040236744,5.054497664917234,4.0,
slish,0.0,4.380534401084507,4.206451428506268,4.0,
slits,2.88,4.78586424178307,4.473228474301462,4.0,
slive,1.49,4.998021129980086,5.007007145822261,5.0,
sloan,3.44,5.513479948944451,5.340974139710645,4.0,
slobs,2.24,4.444028384132492,3.946312263354303,5.0,
sloes,1.45,5.220533631269141,4.739281495467382,4.0,
